[[OVERALL_VIEW]]
Participants: 149
2026 SFRSCCA #08 Live Results
Date: 2026-08-22

Overall Class PAX

Overall
Rank	Driver	Class - Number	Time
1	Boris Vujasinovic	M-FM #67	56.722
2	Guy Ankeny	M-BM #6	58.657
3	Teresa Neidel-McKee	XS-XB #41	58.789
4	Tara Shapowal	XS-XA #187	59.484
5	Ben Martinez	M-CM #60	59.500
6	Steve Lau	XS-XA #18	59.588
7	Eric Gnesa	XS-XB #93	59.600
8	Justin Tsang	BST #88	59.608
9	Scott Fraser	CAM-CAMS #197	59.736
10	Mack Tsang	BST #188	60.085
11	Frankie Trutanic	CAM-CAMS #97	60.260
12	James Laeno	XS-XU #96	60.302
13	Tom Ellam	XS-XB #38	60.382
14	Lisa Gnesa	XS-XB #193	60.403
15	James Clenney	XS-EVX #76	60.475
16	Monty Pack	S1-SS #15	60.906
17	Chris Cox	XS-EVX #178	60.915
18	Tony Rodriguez	XS-XU #39	60.922
19	Drew Powers	XS-XB #138	61.052
20	Steve McLaughlin	SMP-ESP #9	61.177
21	Navid Kahangi	XS-EVX #80	61.571
22	John Smith	ST2-GST #3	61.722
23	Patrick Drudge	SST #126	61.728
24	Cody Mountjoy	S2-BS #23	61.990
25	Danny Gross	SMP-FSP #172	62.151
26	Bryan Stewart	CAM-CAMS #138	62.210
27	Edwin Liu	SST #58	62.327
28	Jonathan Lugod	CST #94	62.425
29	Arvind Govindaraj	AST #17	62.449
30	Douglas Hargrove	M-FM #17	62.493
31	Reed Gibson	SC-CSX #12	62.542
32	Erik Acks	AS #68	62.587
33	Deanne Komush	P-DP #2	62.711
34	Erika McKee	XS-XB #14	62.974
35	Pilar Miranda	XS-EVX #180	63.013
36	Sean Velandia	S3-CS #193	63.043
37	Phil Castro	XS-XA #87	63.103
38	Christopher Cook	CST #9	63.280
39	Shawn Tokairin	AST #938	63.333
40	Terence Chang	SMP-FSP #72	63.469
41	Daniel Chavez	DS #42	63.490
42	Alex Petrovsky	AST #12	63.504
43	David Carson	DS #142	63.662
44	Glen Anderson	CST #79	63.670
45	Yon Visell	BST #131	63.741
46	Muamong Yiengyouav	CST #134	63.889
47	Allen Eischen	SC-CSX #112	63.973
48	Christopher Rosario	S4-GS #33	64.062
49	Ed Runnion	CST #18	64.090
50	Ken Suzuki	S3-CS #3	64.111
51	Justin Bowen	XS-EVX #48	64.205
52	Kristen Acharya	AST #117	64.361
53	Da Chang	CST #63	64.463
54	Kurt Thorson	AS #65	64.969
55	Juan Castillo	S3-CS #9	65.090
56	Andre Piernot	ST2-EST #97	65.174
57	Michael Ansell	P-CP #177	65.252
58	Dhiraj Jadhav	S4-GS #9	65.304
59	Eric Martin	SC-SSC #74	65.606
60	Gregory Kehoe	BST #95	65.667
61	John Rowe	S3-CS #24	65.827
62	Aris Perez	S3-CS #845	65.849
63	John Hartford	N-CST #108	65.860
64	Jonah Olsen	BST #370	65.870
65	Kaustav Acharya	S4-GS #90	65.954
66	John Fabian	DST #55	66.083
67	Stephen Yeoh	ST2-EST #88	66.090
68	Philip Ma	DS #75	66.277
69	Rob Boynton	SMP-SSP #198	66.315
70	Jessica Yeung Lugod	CST #194	66.494
71	Michael Jones	AS #26	66.530
72	Katja Seltmann	BST #31	66.734
73	Lloyd Feaver	DS #5	66.775
74	Anthony Zwain	XS-XU #139	66.850
75	Stephanie Medeiros	SMP-ESP #6	66.859
76	Anurag Prakash	S3-CS #64	66.927
77	Dennis Quilantang	CST #137	67.028
78	Joseph Clerkin	N-CS #33	67.216
79	Mark Fairchilds	DS #35	67.319
80	John Thomas	P-DP #152	67.408
81	Zachary MacLean	ST2-EST #84	67.432
82	Darren Shortes	AS #57	67.448
83	Brenna Comacchio	ST2-EST #4	67.492
84	David Silva	P-CP #16	67.774
85	Gordon White	DST #193	67.932
86	Kate Engelking	AST #9	67.970
87	Josh Pinckney	DS #44	68.054
88	Gary Fazekas	S2-FS #46	68.102
89	Noah Sulzberg	BST #8	68.211
90	Jermaine Knox	CAM-CAMS #177	68.223
91	Fahed Abudayyeh	S3-CS #8	68.242
92	Ibtisam A.	S3-CS #764	68.323
93	Brandon Phillips	ST2-EST #1	68.487
94	Leon Weinroth	CAM-CAMC #51	68.543
95	Andrew Collins	N-CS #141	68.721
96	Dustin Reed	DS #99	68.866
97	Jon Nottage	ST2-EST #474	69.044
98	Eugene Bulavin	N-GS #410	70.207
99	George Arreola	SMP-SM #50	70.793
